domain,problem,number_of_expanded_policies_with_detector,number_of_expanded_policies_without_detector,time_with_detector,time_without_detector
acrobatics,p1,6.0,6.0,0.0596661,0.0639012
acrobatics,p2,21.0,21.0,0.061132,0.067762
acrobatics,p3,79.0,79.0,0.0749586,0.527947
acrobatics,p4,291.0,291.0,0.0900039,0.0888824
acrobatics,p5,1099.0,1099.0,0.125868,0.144325
acrobatics,p6,4251.0,4251.0,0.252762,0.276121
acrobatics,p7,16699.0,16699.0,0.855332,0.733927
acrobatics,p8,66171.0,66171.0,3.82852,3.70784
beam-walk,p1,8.0,8.0,0.0535599,0.0544763
beam-walk,p10,4096.0,4096.0,129.631,130.563
beam-walk,p11,8192.0,8192.0,1115.28,1023.52
beam-walk,p2,16.0,16.0,0.0575677,0.0570858
beam-walk,p3,32.0,32.0,0.061517,0.0605272
beam-walk,p4,64.0,64.0,0.06888,0.0752995
beam-walk,p5,128.0,128.0,0.0925987,0.095895
beam-walk,p6,256.0,256.0,0.167877,0.154475
beam-walk,p7,512.0,512.0,0.496831,0.467971
beam-walk,p8,1024.0,1024.0,2.3999,2.50095
beam-walk,p9,2048.0,2048.0,16.8623,16.9291
blocksworld-advanced,p1_1,13.0,13.0,0.0874536,0.0834018
blocksworld-advanced,p2_2,4.0,4.0,0.0651472,0.0713806
blocksworld-advanced,p3_3,13.0,13.0,0.0809345,0.0878515
blocksworld-advanced,p4_4,169.0,169.0,0.629344,0.245065
blocksworld-advanced,p5_14257,45.0,45.0,6.09179,5.52336
blocksworld-advanced,p5_20405,10979.0,10979.0,6.91408,5.58898
blocksworld-advanced,p5_28161,16453.0,16453.0,6.36399,5.82701
blocksworld-advanced,p5_30495,905.0,905.0,6.06788,5.36679
blocksworld-advanced,p5_30906,12376.0,12376.0,6.26642,5.73807
blocksworld-advanced,p5_5,86.0,86.0,5.99422,5.39338
blocksworld-advanced,p6_6,,16123.0,,210.422
blocksworld-original,p1,85.0,85.0,5.41116,4.54354
blocksworld-original,p10,309.0,309.0,5.26098,4.80986
blocksworld-original,p2,46.0,46.0,5.53186,4.61254
blocksworld-original,p3,383.0,383.0,5.48696,4.60789
blocksworld-original,p4,8301.0,8301.0,5.6215,4.82684
blocksworld-original,p5,200.0,200.0,5.33328,4.62575
blocksworld-original,p6,106.0,106.0,5.35595,4.61463
blocksworld-original,p7,1493.0,1493.0,5.63339,4.60789
blocksworld-original,p8,3299.0,3299.0,5.46592,4.59961
blocksworld-original,p9,320.0,320.0,5.5583,4.63688
chain-of-rooms,p1,112.0,112.0,0.0785768,0.0667426
chain-of-rooms,p10,14422.0,14422.0,100.733,101.234
chain-of-rooms,p2,502.0,502.0,0.176101,0.149999
chain-of-rooms,p3,1192.0,1192.0,0.508057,0.529384
chain-of-rooms,p4,2182.0,2182.0,1.64706,1.36851
chain-of-rooms,p5,3472.0,3472.0,3.92906,3.76112
chain-of-rooms,p6,5062.0,5062.0,9.35323,9.17582
chain-of-rooms,p7,6952.0,6952.0,19.5007,19.0687
chain-of-rooms,p8,9142.0,9142.0,36.8081,34.8812
chain-of-rooms,p9,11632.0,11632.0,61.2912,63.5112
doors,p1,9.0,9.0,0.0722422,0.0745335
doors,p10,4097.0,4106.0,3.60328,3.11223
doors,p11,8193.0,8203.0,12.7931,12.5497
doors,p12,16385.0,16396.0,52.5118,51.9524
doors,p13,32769.0,32781.0,218.147,217.185
doors,p14,65537.0,65550.0,916.601,919.513
doors,p2,17.0,18.0,0.0720964,0.0840937
doors,p3,33.0,35.0,0.0748814,0.0859587
doors,p4,65.0,68.0,0.0795413,0.0819664
doors,p5,129.0,133.0,0.0868273,0.0892249
doors,p6,257.0,262.0,0.12211,0.106549
doors,p7,513.0,519.0,0.1507,0.17375
doors,p8,1025.0,1032.0,0.307852,0.283518
