state_id,h_nd,h_d,policy_type
92689,9,4,optimal
66238,9,5,optimal
76860,8,5,optimal
66499,12,7,optimal
80997,12,6,optimal
70283,13,9,optimal
82597,11,7,optimal
99355,12,7,optimal
103334,9,5,optimal
32898,12,7,optimal
89859,11,7,optimal
107988,11,7,optimal
101353,11,7,optimal
14863,12,6,optimal
97421,11,7,optimal
113434,9,6,optimal
77233,8,5,optimal
100703,12,7,optimal
95392,9,6,optimal
81334,11,7,optimal
71452,10,5,optimal
54140,11,6,optimal
92072,9,6,optimal
96695,12,8,optimal
95365,9,5,optimal
31389,12,6,optimal
48912,9,5,optimal
23386,9,6,optimal
106124,12,8,optimal
93701,9,4,optimal
109421,9,6,optimal
21167,9,6,optimal
45251,11,7,optimal
103378,9,5,optimal
30614,9,5,optimal
68946,9,6,optimal
86643,11,6,optimal
70033,13,7,optimal
83429,12,7,optimal
62886,12,9,optimal
90704,11,7,optimal
77618,11,7,optimal
9566,1,1,optimal
30638,2,1,optimal
37190,2,1,optimal
18670,2,1,optimal
27120,2,1,optimal
63473,12,6,optimal
71425,11,8,optimal
90628,9,5,optimal
4688,2,1,optimal
32161,1,1,optimal
8469,2,1,optimal
27121,2,1,optimal
1313,2,1,optimal
4133,8,5,optimal
4237,1,1,optimal
107485,12,7,optimal
106573,12,8,optimal
95803,11,7,optimal
78458,8,4,optimal
11007,1,1,optimal
99187,12,7,optimal
90681,13,8,optimal
94024,12,7,optimal
85790,11,8,optimal
93725,8,4,optimal
105267,12,6,optimal
101548,12,8,optimal
93690,6,3,optimal
3155,2,1,optimal
105519,10,5,optimal
109659,8,5,optimal
9524,1,1,optimal
25469,2,1,optimal
4577,2,1,optimal
30114,2,1,optimal
83561,12,8,optimal
94233,9,4,optimal
30120,2,1,optimal
38060,8,5,optimal
83577,12,7,optimal
78527,8,5,optimal
89673,9,5,optimal
90505,5,3,optimal
99972,8,5,optimal
109673,9,6,optimal
106878,12,7,optimal
18671,1,1,optimal
87974,6,3,optimal
9562,2,1,optimal
101532,9,5,optimal
98443,11,7,optimal
109219,9,5,optimal
98227,10,7,optimal
83518,11,6,optimal
108073,11,8,optimal
25500,6,4,optimal
72599,9,5,optimal
104207,15,9,optimal
