| domain               |   hard dead ends | problems with hard dead ends   |   dead ends | problems with dead ends   |
|:---------------------|-----------------:|:-------------------------------|------------:|:--------------------------|
| acrobatics           |                0 |                                |         508 | p7, p4, p2, ...           |
| beam-walk            |                0 |                                |           0 |                           |
| blocksworld-advanced |                0 |                                |           0 |                           |
| blocksworld-original |                0 |                                |           0 |                           |
| chain-of-rooms       |                0 |                                |           0 |                           |
| doors                |           131008 | p7, p4, p2, ...                |      196542 | p7, p4, p2, ...           |
| earth-observation    |                0 |                                |           0 |                           |
| elevators            |                0 |                                |           0 |                           |
| faults               |                0 |                                |           0 |                           |
| first-responders     |              640 | fr-p_4_3                       |        5168 | fr-p_4_3                  |
| islands              |                0 |                                |      112386 | p39, p4, p2, ...          |
| miner                |                0 |                                |     2499540 | p1                        |
| tireworld-spiky      |              130 | p4                             |         255 | p4                        |
| tireworld-spiky-2    |           250962 | p4, p2, p3, ...                |      350111 | p4, p2, p3, ...           |
| tireworld-triangle   |             3726 | p4, p2, p3                     |       10202 | p4, p2, p3, ...           |
| tireworld-truck      |           334199 | p18, p47, p68, ...             |      769094 | p18, p47, p68, ...        |
| zenotravel           |                0 |                                |           0 |                           |
